Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
 -0.190411,-9.708554,-0.076622,-0.005224,0.008697,-0.003482
 -0.230168,-9.709319,-0.095261,-0.005224,0.008697,-0.003482
 -0.230168,-9.709319,-0.095261,0.000012,0.005206,0.000008
 -0.230095,-9.729303,-0.095361,0.000012,0.005206,0.000008
 -0.230095,-9.729303,-0.095361,-0.005224,-0.000030,0.000008
 -0.210370,-9.688843,-0.115783,-0.005224,-0.000030,0.000008
 -0.190425,-9.708334,-0.136504,-0.005224,-0.000030,0.000008
 -0.190425,-9.708334,-0.136504,-0.005224,0.005206,-0.001737
 -0.210297,-9.708826,-0.115883,-0.005224,0.005206,-0.001737
 -0.210297,-9.708826,-0.115883,-0.001734,0.006952,0.001754
 -0.190493,-9.688424,-0.116443,-0.001734,0.006952,0.001754
 -0.190493,-9.688424,-0.116443,0.000012,0.003461,0.000008
 -0.210297,-9.708826,-0.115883,0.000012,0.003461,0.000008
 -0.210297,-9.708826,-0.115883,-0.001734,0.005206,-0.003482
 -0.190352,-9.728318,-0.136603,-0.001734,0.005206,-0.003482
 -0.190352,-9.728318,-0.136603,-0.001734,-0.000030,0.000008
 -0.190425,-9.708334,-0.136504,-0.001734,-0.000030,0.000008
 -0.190425,-9.708334,-0.136504,0.000012,0.005206,0.000008
 -0.190420,-9.708407,-0.116543,0.000012,0.005206,0.000008
 -0.190352,-9.728318,-0.136603,0.000012,0.005206,0.000008
 -0.190352,-9.728318,-0.136603,-0.001734,0.005206,-0.001737
 -0.170617,-9.688005,-0.117104,-0.001734,0.005206,-0.001737
 -0.170617,-9.688005,-0.117104,-0.001734,0.005206,-0.001737
 -0.210219,-9.728884,-0.096022,-0.001734,0.005206,-0.001737
 -0.210219,-9.728884,-0.096022,0.000012,0.005206,-0.001737
 -0.190420,-9.708407,-0.116543,0.000012,0.005206,-0.001737
 -0.190420,-9.708407,-0.116543,0.000012,-0.000030,0.000008
 -0.190493,-9.688424,-0.116443,0.000012,-0.000030,0.000008
 -0.210219,-9.728884,-0.096022,0.000012,-0.000030,0.000008
 -0.210219,-9.728884,-0.096022,-0.005224,0.003461,0.001754
 -0.190571,-9.668367,-0.136304,-0.005224,0.003461,0.001754
 -0.190571,-9.668367,-0.136304,-0.005224,0.005206,-0.003482
 -0.170534,-9.708136,-0.077282,-0.005224,0.005206,-0.003482
 -0.170534,-9.708136,-0.077282,-0.003479,0.003461,-0.001737
 -0.210219,-9.728884,-0.096022,-0.003479,0.003461,-0.001737
 -0.210219,-9.728884,-0.096022,-0.003479,0.005206,0.000008
 -0.210214,-9.728957,-0.076061,-0.003479,0.005206,0.000008
 -0.190338,-9.728539,-0.076722,-0.003479,0.005206,0.000008
 -0.190338,-9.728539,-0.076722,-0.001734,0.003461,-0.001737
 -0.190411,-9.708554,-0.076622,-0.001734,0.003461,-0.001737
 -0.190411,-9.708554,-0.076622,-0.003479,0.003461,0.000008
 -0.210224,-9.728810,-0.115982,-0.003479,0.003461,0.000008
 -0.210224,-9.728810,-0.115982,0.000012,-0.000030,-0.001737
 -0.190415,-9.708481,-0.096582,0.000012,-0.000030,-0.001737
 -0.210214,-9.728957,-0.076061,0.000012,-0.000030,-0.001737
 -0.190488,-9.688498,-0.096483,0.000012,-0.000030,-0.001737
 -0.190488,-9.688498,-0.096483,-0.001734,0.003461,-0.005228
 -0.170221,-9.788399,0.012141,-0.001734,0.003461,-0.005228
 -0.170221,-9.788399,0.012141,-0.006970,0.001716,0.000008
 0.617153,-10.353533,0.571992,-0.006970,0.001716,0.000008
 0.617153,-10.353533,0.571992,-0.129143,-0.146637,0.005244
 0.650176,-8.485748,0.989196,-0.129143,-0.146637,0.005244
 0.576151,-9.920232,2.072551,-0.129143,-0.146637,0.005244
 0.576151,-9.920232,2.072551,0.038409,-0.883166,0.005244
 0.153758,-11.269007,2.319591,0.038409,-0.883166,0.005244
 0.153758,-11.269007,2.319591,0.160582,-1.579553,0.005244
 -0.244719,-11.027006,2.174364,0.160582,-1.579553,0.005244
 -0.244719,-11.027006,2.174364,-0.333346,-1.713943,0.013971
 -0.543324,-10.894213,2.404536,-0.333346,-1.713943,0.013971
 -0.543324,-10.894213,2.404536,-1.005298,-1.532429,0.003499
 -0.325098,-10.741779,2.956915,-1.005298,-1.532429,0.003499
 -0.789662,-11.431793,3.168649,-1.005298,-1.532429,0.003499
 -0.789662,-11.431793,3.168649,-1.532387,-1.537665,0.001754
 -0.611867,-11.137752,3.024428,-1.532387,-1.537665,0.001754
 -0.611867,-11.137752,3.024428,-2.206084,-1.537665,0.000008
 -0.837050,-9.400872,2.241956,-2.206084,-1.537665,0.000008
 -0.837050,-9.400872,2.241956,-2.865819,-1.326480,-0.036644
 -0.429482,-9.507016,0.820597,-2.865819,-1.326480,-0.036644
 -0.429482,-9.507016,0.820597,-3.031625,-0.912837,-0.036644
 -0.411765,-8.992440,-0.425053,-3.031625,-0.912837,-0.036644
 -0.839928,-8.819069,-1.098593,-3.031625,-0.912837,-0.036644
 -0.839928,-8.819069,-1.098593,-2.745391,-0.377021,-0.003482
 -0.555622,-7.781686,-1.691866,-2.745391,-0.377021,-0.003482
 -0.555622,-7.781686,-1.691866,-2.319531,0.228609,0.012226
 -0.599359,-9.458555,-2.457101,-2.319531,0.228609,0.012226
 -0.599359,-9.458555,-2.457101,-1.759280,0.738245,0.069821
 -1.026984,-9.406623,-2.712068,-1.759280,0.738245,0.069821
 -1.026984,-9.406623,-2.712068,-1.314221,1.160614,0.102983
 -1.537984,-8.278398,-2.649614,-1.314221,1.160614,0.102983
 0.122811,-8.600115,-3.524946,-1.314221,1.160614,0.102983
 0.122811,-8.600115,-3.524946,-1.132707,1.434631,0.141380
 -1.314128,-7.012756,-3.159915,-1.132707,1.434631,0.141380
 -1.314128,-7.012756,-3.159915,-0.474718,1.645816,0.169305
 -0.500729,-6.566524,-3.025165,-0.474718,1.645816,0.169305
 -0.500729,-6.566524,-3.025165,0.767957,2.057714,0.223410
 0.244522,-9.238865,-3.043070,0.767957,2.057714,0.223410
 0.244522,-9.238865,-3.043070,1.605715,2.186868,0.193740
 0.024318,-8.795055,-2.704209,1.605715,2.186868,0.193740
 0.824677,-10.246125,-2.997453,1.605715,2.186868,0.193740
 0.824677,-10.246125,-2.997453,1.879731,2.038515,0.172796
 0.496157,-10.093537,-2.885954,1.879731,2.038515,0.172796
 0.496157,-10.093537,-2.885954,1.820390,1.720865,0.134399
 0.863980,-10.125205,-3.048077,1.820390,1.720865,0.134399
 0.863980,-10.125205,-3.048077,1.624913,1.307222,0.108219
 0.264863,-9.358750,-2.934546,1.624913,1.307222,0.108219
 0.264863,-9.358750,-2.934546,1.459107,0.893579,0.061095
 0.144693,-9.102065,-2.769601,1.459107,0.893579,0.061095
 0.064605,-8.934468,-2.606426,1.459107,0.893579,0.061095
 0.064605,-8.934468,-2.606426,1.513212,0.609090,0.026188
 -0.014645,-8.996644,-2.454379,1.513212,0.609090,0.026188
 -0.014645,-8.996644,-2.454379,1.783738,0.467719,0.010480
 0.125254,-9.184653,-2.160542,1.783738,0.467719,0.010480
 0.125254,-9.184653,-2.160542,2.082190,0.364744,0.001754
 0.205851,-9.463808,-1.875154,2.082190,0.364744,0.001754
 0.205851,-9.463808,-1.875154,2.260213,0.226863,0.000008
 0.225915,-9.494573,-1.546615,2.260213,0.226863,0.000008
 -0.142676,-9.234197,-1.083935,2.260213,0.226863,0.000008
 -0.142676,-9.234197,-1.083935,2.349225,0.132615,0.000008
 -0.220485,-17.585922,3.329276,2.349225,0.132615,0.000008
 -0.220485,-17.585922,3.329276,2.260213,0.179739,-0.097730
 1.279565,-11.995559,2.508075,2.260213,0.179739,-0.097730
 1.279565,-11.995559,2.508075,0.130911,0.523569,-0.026172
 -0.091264,-9.683985,-0.758484,0.130911,0.523569,-0.026172
 -0.091264,-9.683985,-0.758484,-1.167614,1.055895,0.075057
 0.469585,-8.189829,-1.708067,-1.167614,1.055895,0.075057
 0.799627,-8.761886,-1.871565,-1.167614,1.055895,0.075057
 0.799627,-8.761886,-1.871565,-0.752225,1.486991,-0.022681
 0.799627,-8.761886,-1.871565,-0.265278,1.774970,-0.010464
 0.799627,-8.761886,-1.871565,0.031428,1.687704,0.038405
 6.038131,-11.527719,0.225881,0.031428,1.687704,0.038405
 6.038131,-11.527719,0.225881,-0.403159,0.649233,0.003499
 3.718204,-10.425426,-0.250325,-0.403159,0.649233,0.003499
 2.061775,-8.678705,-0.995022,-0.403159,0.649233,0.003499
 2.061775,-8.678705,-0.995022,-0.984354,-0.263574,-0.013954
 0.934895,-7.690464,-1.701183,-0.984354,-0.263574,-0.013954
 0.934895,-7.690464,-1.701183,-0.898833,-0.411927,-0.024426
 0.955533,-7.918645,-2.032341,-0.898833,-0.411927,-0.024426
 0.955533,-7.918645,-2.032341,-0.150087,-0.232158,-0.024426
 0.327750,-7.443969,-1.540016,-0.150087,-0.232158,-0.024426
 0.327750,-7.443969,-1.540016,0.664982,-0.055880,-0.043625
 -0.621900,-8.607018,-0.456092,0.664982,-0.055880,-0.043625
 -0.931822,-10.794073,0.132432,0.664982,-0.055880,-0.043625
 -0.931822,-10.794073,0.132432,1.054191,0.097709,-0.001737
 -1.318213,-11.084722,0.882455,1.054191,0.097709,-0.001737
 -1.318213,-11.084722,0.882455,0.912819,0.134361,-0.017445
 -2.176391,-10.143678,0.955569,0.912819,0.134361,-0.017445
 -2.176391,-10.143678,0.955569,0.532337,0.088982,-0.001737
 -2.405251,-10.049861,1.312974,0.532337,0.088982,-0.001737
 -2.405251,-10.049861,1.312974,0.281010,-0.010502,-0.015700
 -2.562392,-10.544051,1.655142,0.281010,-0.010502,-0.015700
 -2.914191,-9.462543,1.742003,0.281010,-0.010502,-0.015700
 -2.914191,-9.462543,1.742003,0.033173,-0.141401,0.005244
 -2.585023,-9.804278,1.439930,0.033173,-0.141401,0.005244
 -2.585023,-9.804278,1.439930,-0.078528,-0.237394,0.005244
 -1.649391,-10.174559,1.486782,-0.078528,-0.237394,0.005244
 -1.649391,-10.174559,1.486782,-0.136124,-0.209469,0.001754
 -0.486377,-10.210441,1.567606,-0.136124,-0.209469,0.001754
 -0.486377,-10.210441,1.567606,-0.376979,-0.083805,-0.003482
 0.537243,-10.207531,1.174200,-0.376979,-0.083805,-0.003482
 1.490996,-10.126043,0.753564,-0.376979,-0.083805,-0.003482
 1.490996,-10.126043,0.753564,-0.652741,0.040113,-0.003482
 1.926389,-9.625731,0.332287,-0.652741,0.040113,-0.003482
 1.926389,-9.625731,0.332287,-0.877889,0.125634,-0.001737
 1.917646,-9.955520,0.291049,-0.877889,0.125634,-0.001737
 1.917646,-9.955520,0.291049,-1.012279,0.184975,-0.017445
 1.583018,-10.842792,0.537412,-1.012279,0.184975,-0.017445
 1.583018,-10.842792,0.537412,-1.277569,0.291440,0.006990
 1.273681,-10.499943,0.649200,-1.277569,0.291440,0.006990
 0.923894,-9.996340,0.294034,-1.277569,0.291440,0.006990
 0.923894,-9.996340,0.294034,-1.726119,0.415359,-0.001737
 -0.226520,-10.727300,-0.419721,-1.726119,0.415359,-0.001737
 -0.226520,-10.727300,-0.419721,-1.975701,0.513097,-0.054097
 0.147397,-9.700040,-0.467101,-1.975701,0.513097,-0.054097
 0.147397,-9.700040,-0.467101,-1.888434,0.568948,-0.148345
 0.089792,-10.269943,-0.707491,-1.888434,0.568948,-0.148345
 0.089792,-10.269943,-0.707491,-1.843056,0.568948,-0.308915
 0.087433,-9.620704,-0.644365,-1.843056,0.568948,-0.308915
 -0.332951,-8.829248,-0.876009,-1.843056,0.568948,-0.308915
 -0.332951,-8.829248,-0.876009,-1.783715,0.610836,-0.507883
 -0.508477,-9.771140,-1.174164,-1.783715,0.610836,-0.507883
 -0.508477,-9.771140,-1.174164,-1.493990,0.687630,-0.722558
 1.004884,-10.479568,-0.988529,-1.493990,0.687630,-0.722558
 1.004884,-10.479568,-0.988529,-1.197284,0.764425,-0.884874
 0.943773,-10.071384,-0.924620,-1.197284,0.764425,-0.884874
 0.943773,-10.071384,-0.924620,-1.113508,0.849946,-1.017519
 1.131663,-9.836130,-1.328958,-1.113508,0.849946,-1.017519
 1.370409,-9.900641,-1.447016,-1.113508,0.849946,-1.017519
 1.370409,-9.900641,-1.447016,-0.973882,0.930231,-1.228704
 1.411189,-10.179644,-1.429774,-0.973882,0.930231,-1.228704
 1.411189,-10.179644,-1.429774,-0.809821,0.952920,-1.432907
 1.428897,-9.589495,-1.487372,-0.809821,0.952920,-1.432907
 1.428897,-9.589495,-1.487372,-0.631797,0.968628,-1.619657
 1.656255,-9.254731,-1.553202,-0.631797,0.968628,-1.619657
 1.656255,-9.254731,-1.553202,-0.431085,0.975609,-1.829097
 1.515785,-8.869344,-1.177362,-0.431085,0.975609,-1.829097
 1.515785,-8.869344,-1.177362,-0.209428,0.956411,-1.986176
 1.618121,-9.667097,-1.044933,-0.209428,0.956411,-1.986176
 1.618121,-9.667097,-1.044933,-0.057584,0.893579,-2.193871
 1.332186,-10.302211,-1.158264,-0.057584,0.893579,-2.193871
 1.332186,-10.302211,-1.158264,0.075061,0.799331,-2.310807
 1.507095,-9.199939,-0.999034,0.075061,0.799331,-2.310807
 1.507095,-9.199939,-0.999034,0.200725,0.687630,-2.501049
 1.636473,-9.237732,-0.853822,0.200725,0.687630,-2.501049
 1.636473,-9.237732,-0.853822,0.335115,0.600364,-2.644166
 1.773070,-8.535672,-0.775110,0.335115,0.600364,-2.644166
 1.773070,-8.535672,-0.775110,0.497431,0.596873,-2.706997
 2.182882,-9.166701,-0.751924,0.497431,0.596873,-2.706997
 2.182882,-9.166701,-0.751924,0.649274,0.670177,-2.722705
 3.167727,-12.095778,-0.240116,0.649274,0.670177,-2.722705
 3.167727,-12.095778,-0.240116,0.375258,0.753953,-2.457415
 3.268213,-9.694366,-0.531179,0.375258,0.753953,-2.457415
 3.654932,-9.465353,-0.822409,0.375258,0.753953,-2.457415
 3.654932,-9.465353,-0.822409,-0.017442,0.825511,-2.357931
 4.022302,-9.367458,-0.894061,-0.017442,0.825511,-2.357931
 4.022302,-9.367458,-0.894061,-0.146596,0.959902,-2.336987
 3.994372,-9.887435,-0.955547,-0.146596,0.959902,-2.336987
 3.994372,-9.887435,-0.955547,-0.256552,1.097782,-2.256702
 3.583188,-8.886385,-1.066709,-0.256552,1.097782,-2.256702
 3.583188,-8.886385,-1.066709,-0.308912,1.260098,-2.225286
 3.649479,-7.966964,-0.715119,-0.308912,1.260098,-2.225286
 3.546515,-9.689014,-0.400702,-0.308912,1.260098,-2.225286
 3.546515,-9.689014,-0.400702,-0.434575,1.350855,-2.267174
 3.098773,-9.539490,-0.135535,-0.434575,1.350855,-2.267174
 3.098773,-9.539490,-0.135535,-0.895342,1.373545,-2.171181
 2.738862,-6.249155,-0.217289,-0.895342,1.373545,-2.171181
 2.738862,-6.249155,-0.217289,-1.267097,1.359582,-2.300336
 3.213060,-10.886651,0.013778,-1.267097,1.359582,-2.300336
 3.683995,-11.935488,-0.126797,-1.267097,1.359582,-2.300336
 3.683995,-11.935488,-0.126797,-1.628380,1.310713,-2.314298
 3.404474,-8.892831,-0.332204,-1.628380,1.310713,-2.314298
 3.404474,-8.892831,-0.332204,-1.975701,1.274061,-2.303826
 3.585103,-9.377920,-0.540200,-1.975701,1.274061,-2.303826
 3.585103,-9.377920,-0.540200,-2.040278,1.239154,-2.361422
 3.568269,-10.217278,-0.643535,-2.040278,1.239154,-2.361422
 3.568269,-10.217278,-0.643535,-1.900652,1.204248,-2.373639
 3.180877,-7.548119,-0.437964,-1.900652,1.204248,-2.373639
 3.757516,-10.323499,-0.570516,-1.900652,1.204248,-2.373639
 3.757516,-10.323499,-0.570516,-1.624890,1.202502,-2.481850
 3.382065,-8.184754,-0.078493,-1.624890,1.202502,-2.481850
 3.382065,-8.184754,-0.078493,-1.322948,1.211229,-2.532464
 3.652067,-8.629166,0.030107,-1.322948,1.211229,-2.532464
 3.652067,-8.629166,0.030107,-1.080347,1.267079,-2.621476
 3.892131,-9.034568,0.229721,-1.080347,1.267079,-2.621476
 3.892131,-9.034568,0.229721,-0.926758,1.336893,-2.645911
 4.122156,-9.419792,0.319981,-0.926758,1.336893,-2.645911
 4.593944,-10.679774,0.537647,-0.926758,1.336893,-2.645911
 4.593944,-10.679774,0.537647,-0.926758,1.411942,-2.584824
 5.225285,-12.095612,0.569586,-0.926758,1.411942,-2.584824
 5.225285,-12.095612,0.569586,-1.232191,1.434631,-2.328261
 5.595263,-12.726231,0.254764,-1.232191,1.434631,-2.328261
 5.595263,-12.726231,0.254764,-1.946030,1.371799,-1.874475
 5.593379,-12.263461,-0.601244,-1.946030,1.371799,-1.874475
 5.593379,-12.263461,-0.601244,-2.654634,1.310713,-1.438143
 5.311552,-11.365896,-1.725257,-2.654634,1.310713,-1.438143
 4.771669,-10.554369,-2.661437,-2.654634,1.310713,-1.438143
 4.771669,-10.554369,-2.661437,-2.780298,1.295005,-1.137946
 4.343504,-10.362112,-3.035469,-2.780298,1.295005,-1.137946
 4.343504,-10.362112,-3.035469,-2.216557,1.343874,-0.928507
 4.086458,-10.737179,-3.048690,-2.216557,1.343874,-0.928507
 4.086458,-10.737179,-3.048690,-1.371817,1.404961,-0.748738
 4.008950,-11.269367,-2.789206,-1.371817,1.404961,-0.748738
 4.008950,-11.269367,-2.789206,-0.741753,1.411942,-0.548025
 4.209528,-11.755174,-2.688473,-0.741753,1.411942,-0.548025
 4.389580,-12.061660,-2.556241,-0.741753,1.411942,-0.548025
 4.389580,-12.061660,-2.556241,-0.506134,1.368309,-0.338586
 4.458695,-11.940074,-2.617836,-0.506134,1.368309,-0.338586
 4.458695,-11.940074,-2.617836,-0.577692,1.258353,-0.116929
 4.348213,-11.632158,-2.742399,-0.577692,1.258353,-0.116929
 4.348213,-11.632158,-2.742399,-0.724300,1.097782,0.075057
 4.208224,-11.405063,-2.796510,-0.724300,1.097782,0.075057
 4.208224,-11.405063,-2.796510,-0.802840,0.907542,0.207702
 3.939222,-11.230646,-2.846576,-0.802840,0.907542,0.207702
 3.759490,-11.004535,-2.859444,-0.815057,0.717301,0.289733
 3.719533,-10.945642,-2.797942,-0.815057,0.717301,0.289733
 3.719533,-10.945642,-2.797942,-0.740008,0.542768,0.356055
 3.799130,-10.964243,-2.720841,-0.740008,0.542768,0.356055
 3.799130,-10.964243,-2.720841,-0.633543,0.453756,0.425869
 3.799079,-10.944590,-2.630919,-0.633543,0.453756,0.425869
 3.799079,-10.944590,-2.630919,-0.541040,0.413613,0.523607
 3.897973,-10.802978,-2.533720,-0.541040,0.413613,0.523607
 3.917189,-10.613228,-2.393708,-0.472972,0.397905,0.633563
 3.936139,-10.353392,-2.293268,-0.472972,0.397905,0.633563
 3.936139,-10.353392,-2.293268,-0.383961,0.378707,0.755736
 3.994800,-10.082615,-2.224041,-0.383961,0.378707,0.755736
 3.994800,-10.082615,-2.224041,-0.272260,0.359508,0.860456
 3.993935,-9.833556,-2.023187,-0.272260,0.359508,0.860456
 3.993935,-9.833556,-2.023187,-0.162304,0.331583,0.940741
 3.953054,-9.515283,-1.850604,-0.162304,0.331583,0.940741
 3.971813,-9.205341,-1.789836,-0.162304,0.331583,0.940741
 3.971813,-9.205341,-1.789836,-0.066311,0.343800,0.973902
 3.970851,-8.935931,-1.688685,-0.066311,0.343800,0.973902
 3.970851,-8.935931,-1.688685,0.048881,0.368235,0.977393
 3.890620,-8.737846,-1.665085,0.048881,0.368235,0.977393
 3.890620,-8.737846,-1.665085,0.181526,0.411868,0.949467
 3.711629,-8.702309,-1.479295,0.181526,0.411868,0.949467
 3.711629,-8.702309,-1.479295,0.282755,0.436303,0.904089
 3.582332,-8.665761,-1.285177,0.282755,0.436303,0.904089
 3.542471,-8.627219,-1.123972,0.282755,0.436303,0.904089
 3.542471,-8.627219,-1.123972,0.294972,0.474700,0.834276
 3.462922,-8.609351,-1.001467,0.294972,0.474700,0.834276
 3.462922,-8.609351,-1.001467,0.232141,0.527060,0.753990
 3.363374,-8.561744,-0.928053,0.232141,0.527060,0.753990
 3.363374,-8.561744,-0.928053,0.134402,0.581165,0.670215
 3.114564,-8.467209,-0.879376,0.134402,0.581165,0.670215
 3.114564,-8.467209,-0.879376,0.040154,0.645742,0.565495
 2.895929,-8.471890,-0.852150,0.040154,0.645742,0.565495
 2.687752,-8.616394,-0.786032,0.040154,0.645742,0.565495
 2.687752,-8.616394,-0.786032,-0.024423,0.710319,0.450303
 2.608804,-8.768091,-0.744217,-0.024423,0.710319,0.450303
 2.608804,-8.768091,-0.744217,-0.087255,0.792350,0.314168
 2.669013,-8.926628,-0.766958,-0.087255,0.792350,0.314168
 2.669013,-8.926628,-0.766958,-0.174521,0.856927,0.183268
 2.749197,-9.114576,-0.830430,-0.174521,0.856927,0.183268
 2.749197,-9.114576,-0.830430,-0.256552,0.935467,0.054113
 2.779714,-9.313341,-0.952182,-0.256552,0.935467,0.054113
 2.840079,-9.521434,-1.084956,-0.256552,0.935467,0.054113
 2.840079,-9.521434,-1.084956,-0.308912,1.003535,-0.055842
 2.900702,-9.799505,-1.208098,-0.308912,1.003535,-0.055842
 2.900702,-9.799505,-1.208098,-0.324620,1.040187,-0.129146
 2.751468,-9.762461,-1.262826,-0.324620,1.040187,-0.129146
 2.751468,-9.762461,-1.262826,-0.294949,1.061131,-0.155326
 2.881495,-9.989401,-1.308189,-0.294949,1.061131,-0.155326
 2.881495,-9.989401,-1.308189,-0.172776,1.123963,-0.146599
 3.230604,-10.331705,-1.341455,-0.172776,1.123963,-0.146599
 3.548668,-10.344509,-1.481866,-0.172776,1.123963,-0.146599
 3.548668,-10.344509,-1.481866,-0.085509,1.153633,-0.066314
 3.895928,-10.186862,-1.612440,-0.085509,1.153633,-0.066314
 3.895928,-10.186862,-1.612440,0.022701,1.158869,0.062840
 4.084232,-10.042852,-1.657937,0.022701,1.158869,0.062840
 4.084232,-10.042852,-1.657937,0.211197,1.153633,0.179777
 4.143589,-9.961956,-1.579677,0.211197,1.153633,0.179777
 4.143589,-9.961956,-1.579677,0.441580,1.155378,0.301950
 4.043934,-9.884409,-1.496133,0.441580,1.155378,0.301950
 3.815269,-9.850177,-1.238831,0.441580,1.155378,0.301950
 3.815269,-9.850177,-1.238831,0.637057,1.160614,0.408415
 3.467466,-9.848578,-0.937794,0.637057,1.160614,0.408415
 3.467466,-9.848578,-0.937794,0.715597,1.148397,0.472992
 3.159439,-9.855951,-0.688029,0.715597,1.148397,0.472992
 3.159439,-9.855951,-0.688029,0.673709,1.144906,0.497427
 3.020246,-9.839121,-0.623424,0.673709,1.144906,0.497427
 3.020246,-9.839121,-0.623424,0.558517,1.146652,0.474738
 3.188655,-9.695236,-0.748103,0.558517,1.146652,0.474738
 3.188655,-9.695236,-0.748103,0.460779,1.144906,0.431105
 3.228229,-9.653918,-0.888948,0.460779,1.144906,0.431105
 3.228229,-9.653918,-0.888948,0.459033,1.137925,0.382235
 3.138995,-9.715607,-0.926197,0.459033,1.137925,0.382235
 3.138995,-9.715607,-0.926197,0.568989,1.136180,0.331621
 2.940798,-9.869966,-0.840498,0.568989,1.136180,0.331621
 2.712823,-10.034943,-0.753859,0.568989,1.136180,0.331621
 2.455106,-10.220531,-0.666328,0.568989,1.136180,0.331621
 2.455106,-10.220531,-0.666328,0.862204,1.165850,0.275770
 2.455654,-10.370408,-0.667077,0.862204,1.165850,0.275770
 2.455654,-10.370408,-0.667077,0.972160,1.207738,0.279261
 2.205689,-9.965765,-0.716656,0.972160,1.207738,0.279261
 2.205689,-9.965765,-0.716656,1.108296,1.246135,0.289733
 2.006363,-9.819860,-0.769184,1.108296,1.246135,0.289733
 2.006363,-9.819860,-0.769184,1.373586,1.359582,0.268789
 2.206389,-10.146275,-0.537909,1.373586,1.359582,0.268789
 2.735374,-10.735775,-0.258999,1.373586,1.359582,0.268789
 2.735374,-10.735775,-0.258999,1.555100,1.457320,0.298460
 3.103237,-10.768065,-0.251457,1.555100,1.457320,0.298460
 3.103237,-10.768065,-0.251457,1.453871,1.504444,0.436341
 3.291253,-10.553600,-0.436329,1.453871,1.504444,0.436341
 3.291253,-10.553600,-0.436329,1.300282,1.569021,0.630072
 3.290631,-10.393147,-0.595215,1.300282,1.569021,0.630072
 3.290631,-10.393147,-0.595215,1.216506,1.652797,0.813332
 3.022017,-10.319016,-0.545978,1.216506,1.652797,0.813332
 2.753533,-10.275152,-0.417048,1.216506,1.652797,0.813332
